timestamp,trade_id,ticker,instrument,status,failure_type,failure_score,weighted_score,theta_risk,cvd_confirmation,direction_score,timing_score,magnitude_score,volatility_score,catalyst_score,exit_score,absorption_capacity_mod,selling_pressure_mod,model_update_note
2026-06-10T03:30:14+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.84375,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-10T03:32:23+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8463118440350671,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-10T03:33:04+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.84375,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-10T03:35:03+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8463118440350671,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-10T16:45:36+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8486743515025642,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-10T16:45:36+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8486743515025642,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-10T16:50:56+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8508599166632029,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-10T17:03:37+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8528877003817634,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-11T02:55:16+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.854774193363805,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-11T02:56:04+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8565336656213698,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-11T02:56:23+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.8581785281058245,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
2026-06-11T04:08:35+00:00,2,UEC,UEC Weekly Call,-100% Premium,Direction,0.8916666656732559,0.859719625900839,0.4000000059604645,0,-1.0,-0.800000011920929,-1.0,-0.8999999761581421,-1.0,0.0,-0.5,0.6000000238418579,Catalyst inversion; trigger structural IV crush penalty
